emotion_id,motive_id,weight,emotion_name,motive_name
1,3,0.8,기쁨(Joy),여행 동반자와의 친밀감 및 유대감 증진
1,7,0.7,기쁨(Joy),새로운 경험 추구
1,9,0.9,기쁨(Joy),"특별한 목적(칠순여행, 신혼여행, 수학여행, 인센티브여행)"
2,2,0.9,슬픔(Sadness),"쉴 수 있는 기회, 육체 피로 해결 및 정신적인 휴식"
2,4,0.7,슬픔(Sadness),진정한 자아 찾기 또는 자신을 되돌아볼 기회 찾기
2,1,0.8,슬픔(Sadness),"일상적인 환경 및 역할에서의 탈출, 지루함 탈피"
3,1,0.9,분노(Anger),"일상적인 환경 및 역할에서의 탈출, 지루함 탈피"
3,6,0.7,분노(Anger),"운동, 건강 증진 및 충전"
3,2,0.8,분노(Anger),"쉴 수 있는 기회, 육체 피로 해결 및 정신적인 휴식"
4,2,0.9,공포(Fear),"쉴 수 있는 기회, 육체 피로 해결 및 정신적인 휴식"
4,3,0.8,공포(Fear),여행 동반자와의 친밀감 및 유대감 증진
4,6,0.6,공포(Fear),"운동, 건강 증진 및 충전"
5,1,0.9,혐오(Disgust),"일상적인 환경 및 역할에서의 탈출, 지루함 탈피"
5,7,0.7,혐오(Disgust),새로운 경험 추구
5,8,0.6,혐오(Disgust),"역사 탐방, 문화적 경험 등 교육적 동기"
6,7,0.9,놀람(Surprise),새로운 경험 추구
6,8,0.7,놀람(Surprise),"역사 탐방, 문화적 경험 등 교육적 동기"
6,5,0.5,놀람(Surprise),SNS 사진 등록 등 과시
